GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1600000US0107000,0107000,"Birmingham city, Alabama",212653,923,51751,3784,154281,4085,413,336,1617,655,23,37,1968,1140,2600,1281,358,411,2242,1209
1600000US0121184,0121184,"Dothan city, Alabama",69400,1142,42496,1322,24772,1366,104,71,538,182,0,189,422,295,1068,343,80,77,988,309
1600000US0135896,0135896,"Hoover city, Alabama",84352,35,64794,3351,11914,3048,0,189,3433,1518,0,189,2975,2300,1236,876,80,132,1156,811
1600000US0137000,0137000,"Huntsville city, Alabama",187592,678,117137,4019,58918,4072,461,377,4196,1095,170,135,2036,1442,4674,1620,140,134,4534,1635
1600000US0150000,0150000,"Mobile city, Alabama",194670,39,85101,4045,101500,4307,458,267,2823,1650,0,189,2326,2272,2462,1697,34,64,2428,1691
1600000US0151000,0151000,"Montgomery city, Alabama",200486,27,69942,2119,120378,1931,359,270,5732,797,58,95,1415,891,2602,969,236,203,2366,965
1600000US0177256,0177256,"Tuscaloosa city, Alabama",96116,32,49611,2968,42277,2879,122,147,2368,719,0,189,355,472,1383,638,0,189,1383,638
1600000US0203000,0203000,"Anchorage municipality, Alaska",301010,*****,194958,2661,17041,2011,21093,2372,27805,1667,6629,623,5122,2006,28362,4067,1727,1128,26635,4023
1600000US0404720,0404720,"Avondale city, Arizona",79621,87,58729,4028,8253,3022,758,424,3691,1436,0,200,4274,1793,3916,1368,389,373,3527,1271
1600000US0410670,0410670,"Casas Adobes CDP, Arizona",72867,5846,58435,4806,1328,754,724,738,992,586,41,107,6011,2679,5336,1828,2482,1488,2854,1085
1600000US0412000,0412000,"Chandler city, Arizona",254275,43,196801,5619,12129,3515,5102,1909,20254,3357,294,233,8897,3600,10798,1927,1217,701,9581,1824
1600000US0423620,0423620,"Flagstaff city, Arizona",68786,23,52626,2341,2053,506,6566,2192,2721,537,0,200,2292,1114,2528,1049,469,273,2059,1014
1600000US0427400,0427400,"Gilbert town, Arizona",239282,48,194359,5348,7108,2735,3730,1309,17164,3646,356,276,6845,2850,9720,1772,1405,797,8315,1575
1600000US0427820,0427820,"Glendale city, Arizona",237529,63,182397,5983,13931,3447,2839,1109,13440,3679,367,383,12933,4114,11622,3380,1824,829,9798,3351
