GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1600000US0107000,0107000,"Birmingham city, Alabama",212835,1168,47736,3432,156390,3391,117,156,2715,1198,132,175,2948,1770,2797,1060,202,184,2595,1038
1600000US0121184,0121184,"Dothan city, Alabama",68104,974,42431,1451,23371,997,50,53,712,236,0,184,375,314,1165,385,150,151,1015,373
1600000US0135896,0135896,"Hoover city, Alabama",81627,2503,60744,4267,12290,3281,0,184,4563,1226,74,133,2846,2176,1110,661,38,61,1072,656
1600000US0137000,0137000,"Huntsville city, Alabama",183076,681,113590,3902,58439,3606,527,335,3884,1298,253,234,1556,995,4827,1245,0,184,4827,1245
1600000US0150000,0150000,"Mobile city, Alabama",194823,35,85239,3866,103503,4308,1004,665,2417,1277,44,87,540,407,2076,1159,227,176,1849,1163
1600000US0151000,0151000,"Montgomery city, Alabama",205285,36,78369,2488,115936,2263,77,113,4977,811,96,158,3182,1383,2648,1047,712,777,1936,813
1600000US0177256,0177256,"Tuscaloosa city, Alabama",93351,33,52784,3100,37621,2977,286,295,1892,796,52,88,171,332,545,454,45,77,500,448
1600000US0203000,0203000,"Anchorage municipality, Alaska",298610,*****,196090,2016,18866,1412,19165,2368,27691,1936,5977,658,4087,1402,26734,3157,1324,818,25410,3120
1600000US0404720,0404720,"Avondale city, Arizona",78274,69,57783,4003,9485,3107,1283,795,2723,1709,218,351,4743,1722,2039,934,498,315,1541,807
1600000US0410670,0410670,"Casas Adobes CDP, Arizona",71976,5133,61753,4873,1387,1019,1161,1018,2591,1213,0,198,2902,1346,2182,1042,302,290,1880,997
1600000US0412000,0412000,"Chandler city, Arizona",245642,62,190170,5793,12157,3141,4051,1893,20086,4006,592,665,7282,2153,11304,2867,1555,811,9749,2799
1600000US0423620,0423620,"Flagstaff city, Arizona",67472,26,50596,3378,1906,796,7870,2807,1348,702,82,140,2202,1182,3468,1882,1612,1934,1856,691
