GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
1600000US0107000,0107000,"Birmingham city, Alabama",90186,3374,45218,2249,20189,1971,44968,3800,12.6,1.6,8.1,1.8,3.0,1.7,18.3,2.8,9.2,1.5,6.8,1.7,1.0,0.9,12.9,2.8,16.3,2.0,12.9,2.8,4.6,2.3,19.4,3.1,13.3,1.9,12.8,2.6,8.5,3.1,13.4,3.0,14.4,2.2,16.8,3.3,16.5,4.2,11.5,2.8,13.9,1.8,15.9,2.9,16.9,3.8,12.5,2.4,8.9,1.6,10.7,2.4,18.2,4.1,5.9,1.7,6.7,1.5,10.0,2.5,18.8,4.8,3.3,1.4,2.3,0.7,3.1,1.2,6.4,2.5,1.5,0.9,2.2,0.6,3.1,0.9,6.1,1.9,1.4,0.7,33553,2673,43931,3724,73890,12023,24261,3836,50301,2808,60752,4048,91143,7146,38369,3651,45.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),48.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),41.5,(X)
1600000US0121184,0121184,"Dothan city, Alabama",25192,875,16190,786,10925,759,9002,758,8.8,1.3,6.7,1.4,1.3,0.7,14.5,2.9,6.6,1.2,4.4,1.5,1.0,0.6,11.6,2.4,12.0,1.4,9.1,1.8,4.3,1.5,18.3,3.1,11.5,1.6,8.6,1.9,7.1,2.2,15.5,2.7,15.6,1.7,14.0,2.0,12.6,2.4,18.4,3.0,15.3,1.8,17.8,2.7,19.9,3.6,9.7,2.0,11.3,1.6,13.1,2.0,16.8,2.7,6.8,2.0,11.3,1.7,15.5,2.5,21.6,3.5,3.4,1.5,3.2,0.8,4.9,1.5,7.2,2.3,1.1,0.9,4.3,1.2,5.7,1.7,8.2,2.6,0.8,0.6,44280,2058,60237,4531,79465,6169,28066,2611,68293,4402,83082,5803,N,N,38597,3457,39.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),38.7,(X)
1600000US0135896,0135896,"Hoover city, Alabama",34058,1330,23646,1134,N,N,10412,1612,3.3,2.0,3.9,2.7,N,N,3.4,2.4,2.2,1.2,1.1,1.0,N,N,4.7,3.3,6.7,2.0,2.8,1.7,N,N,14.0,5.9,7.2,2.5,5.0,2.5,N,N,12.1,6.3,10.0,2.6,7.0,2.6,N,N,18.3,5.9,16.4,4.1,13.4,3.9,N,N,23.0,7.9,11.1,3.2,12.3,3.9,N,N,9.0,4.3,21.3,4.5,26.0,5.4,N,N,11.3,6.3,8.7,2.5,10.4,3.3,N,N,2.8,2.3,13.1,3.3,18.1,4.5,N,N,1.3,1.5,84054,12009,107358,6953,118283,8292,46004,9950,109765,10958,130884,14918,N,N,59468,8992,24.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.9,(X)
1600000US0137000,0137000,"Huntsville city, Alabama",84750,2687,49897,2386,33060,2454,34853,2968,6.7,1.5,4.4,1.3,1.1,0.7,10.8,3.4,8.2,1.9,4.5,2.0,0.7,0.7,13.7,3.6,12.6,2.1,11.1,2.6,6.1,2.5,15.4,3.5,10.5,1.7,7.3,2.0,4.4,2.1,15.1,2.7,11.5,2.1,9.9,2.9,5.0,2.0,14.7,2.9,14.2,2.0,13.5,2.3,14.3,2.8,13.9,3.0,9.3,1.4,11.4,2.3,14.8,2.7,5.9,1.9,14.1,2.0,19.2,2.8,26.9,3.9,6.2,2.2,6.5,1.5,9.2,2.3,12.6,3.3,2.9,1.7,6.3,1.3,9.6,2.0,13.9,3.0,1.5,1.0,50704,4050,73415,9187,105116,5956,31350,2652,75731,3813,95102,6392,N,N,46407,5099,28.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.0,(X)
1600000US0150000,0150000,"Mobile city, Alabama",78145,2673,42687,2080,26948,2114,35458,2576,13.0,2.1,7.7,2.0,1.7,1.2,19.5,4.2,6.8,1.3,4.9,1.6,2.9,1.7,9.4,2.7,15.5,2.4,10.2,2.1,5.0,1.9,21.7,4.1,10.0,1.6,9.2,2.3,7.1,2.7,11.3,2.8,13.0,2.4,13.5,2.9,12.9,3.5,12.7,3.4,15.9,1.9,18.3,2.5,19.4,3.5,13.0,2.8,9.8,1.9,12.7,2.6,16.8,3.4,5.7,1.9,9.7,2.0,13.6,2.9,19.0,3.9,4.9,2.1,2.6,0.8,3.7,1.2,5.7,1.9,1.3,1.2,3.7,0.7,6.2,1.3,9.5,2.2,0.7,0.7,40316,3001,57261,6682,76387,8918,24671,2594,61080,3601,79271,5051,N,N,37613,3545,37.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),37.8,(X)
1600000US0151000,0151000,"Montgomery city, Alabama",78217,2248,47456,2343,26823,1959,30761,2326,11.3,1.9,8.6,2.5,0.1,0.2,15.6,3.5,6.5,1.3,5.3,1.6,1.9,1.1,8.5,2.5,12.9,2.0,9.5,2.3,6.0,2.7,19.0,4.0,10.6,1.9,8.9,2.2,5.3,2.2,13.0,3.4,15.5,2.7,14.9,3.5,10.4,2.9,16.4,3.9,17.3,2.0,18.8,3.3,22.8,4.6,16.1,3.2,9.7,1.8,10.9,2.2,16.0,3.3,5.8,2.0,9.6,1.7,13.6,2.5,21.3,4.0,3.4,1.6,3.2,0.8,4.4,1.3,7.4,2.3,1.3,1.1,3.4,0.9,5.0,1.4,8.7,2.4,0.9,0.7,42419,2801,54342,6285,80211,7093,30056,3336,60139,3216,71974,4198,100318,6684,40697,4457,36.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.7,(X)
1600000US0177256,0177256,"Tuscaloosa city, Alabama",36209,1769,19668,1751,N,N,16541,1865,12.4,2.3,5.6,2.6,N,N,20.4,4.6,6.1,2.0,2.9,1.6,N,N,9.8,3.8,12.6,3.2,11.6,4.5,N,N,13.7,5.0,7.6,2.2,6.2,2.7,N,N,9.8,3.7,12.6,3.2,11.1,4.2,N,N,13.9,5.3,21.1,4.7,24.5,6.0,N,N,17.4,5.9,9.6,2.7,11.2,4.0,N,N,7.4,3.3,10.2,2.3,14.3,3.8,N,N,5.5,2.7,3.7,1.5,5.7,2.8,N,N,1.4,1.3,4.1,1.5,7.1,2.7,N,N,0.7,0.8,47243,5538,60652,6675,81873,17858,28132,6961,63133,4682,81532,7629,N,N,41069,4596,48.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),58.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),36.9,(X)
1600000US0203000,0203000,"Anchorage municipality, Alaska",107373,1962,70696,2697,51413,2808,36677,2740,3.6,1.1,2.2,1.1,0.5,0.5,8.2,2.5,1.7,0.6,1.0,0.6,0.7,0.5,3.2,1.6,5.8,1.2,4.1,1.6,2.2,1.2,9.5,2.8,6.4,1.2,5.5,1.8,3.1,1.4,9.6,2.3,10.7,1.5,7.7,1.7,6.1,1.7,15.4,3.1,19.8,2.3,20.3,2.9,16.3,3.2,21.6,3.5,13.1,1.7,13.7,2.1,13.5,2.2,10.0,2.3,20.3,2.0,21.8,2.5,27.0,3.1,15.1,3.4,9.8,1.6,11.9,2.1,15.3,2.7,5.3,2.0,8.8,1.2,11.7,2.0,15.1,2.5,2.3,1.1,79166,4990,91590,5437,111183,6382,53445,5934,100976,4250,114843,6104,N,N,67355,5118,30.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.6,(X)
1600000US0404720,0404720,"Avondale city, Arizona",26223,1632,20077,1252,N,N,6146,1502,5.6,2.5,6.3,3.2,N,N,7.7,5.0,4.0,1.9,2.0,1.4,N,N,11.0,6.8,8.4,3.2,7.6,3.0,N,N,13.1,9.3,13.1,4.3,10.8,3.7,N,N,17.2,10.0,12.2,3.0,11.0,3.1,N,N,16.8,8.1,24.9,5.6,27.4,6.3,N,N,17.3,11.1,11.4,3.2,11.9,3.7,N,N,8.8,5.2,12.4,3.8,12.5,4.6,N,N,7.3,4.1,5.7,2.7,7.3,3.4,N,N,0.5,0.8,2.5,1.9,3.1,2.5,N,N,0.4,0.7,55468,3675,58793,4031,71687,8843,35814,8314,68422,6269,73315,7211,N,N,44125,5982,43.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),45.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.8,(X)
