GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1600000US0107000,0107000,"Birmingham city, Alabama",87228,2521,48750,2183,21250,2130,38478,2757,17.2,2.3,14.0,2.9,2.9,1.8,21.5,3.4,9.6,1.5,5.2,1.8,3.4,2.4,15.5,2.7,16.1,1.7,15.2,2.3,8.6,2.7,17.1,3.0,13.3,1.9,15.6,2.7,14.2,3.7,10.6,2.4,16.5,1.9,16.8,2.8,18.2,4.6,16.3,3.1,15.1,2.1,17.7,3.0,23.9,4.6,11.1,2.9,4.3,1.0,5.4,1.5,9.8,2.9,2.8,1.3,4.7,1.1,5.6,1.7,10.8,3.4,3.4,1.4,1.6,0.7,2.1,1.1,3.9,2.1,0.8,0.7,1.7,0.7,2.3,1.2,4.4,2.1,0.8,0.6,30212,1684,34971,2953,51378,3260,22306,1937,42347,2749,48425,4071,70272,6939,34032,3863,30.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.5,(X)
1600000US0121184,0121184,"Dothan city, Alabama",25840,1012,17507,921,11614,840,8333,829,11.7,1.7,7.9,1.9,2.0,1.0,20.9,3.7,6.3,1.4,4.0,1.5,1.5,1.1,11.5,2.8,13.5,1.8,11.3,2.4,5.9,2.1,19.4,3.7,11.4,2.0,10.2,2.3,8.7,2.1,13.5,3.4,18.4,2.1,19.0,2.8,17.6,3.1,17.9,4.2,17.0,2.0,18.8,2.4,23.7,3.3,11.5,3.3,9.2,1.8,12.2,2.4,17.0,3.4,1.9,1.3,8.2,1.5,10.9,2.1,14.9,3.0,2.4,1.4,2.1,0.7,2.7,0.9,3.9,1.4,0.9,0.9,2.1,0.8,3.0,1.1,4.6,1.7,0.3,0.4,39806,2577,47928,3191,62848,3514,23954,2729,53714,3186,63557,4307,N,N,31505,2803,29.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.3,(X)
1600000US0135896,0135896,"Hoover city, Alabama",30280,1881,21027,1453,N,N,9253,1609,3.6,2.1,2.5,2.1,N,N,6.2,4.4,1.1,1.0,0.8,1.2,N,N,2.0,2.0,8.9,3.2,5.3,3.3,N,N,17.2,7.0,9.2,3.5,5.6,2.9,N,N,17.7,8.3,14.7,3.4,13.0,4.0,N,N,17.9,7.0,15.3,3.2,14.7,3.7,N,N,16.6,5.8,12.3,3.0,14.3,3.9,N,N,7.9,4.5,16.3,3.2,19.4,4.3,N,N,9.7,5.2,12.9,3.0,16.7,3.9,N,N,3.7,3.6,5.7,1.9,7.8,2.6,N,N,1.0,1.7,69359,7066,86451,6118,96513,11319,41303,7320,86731,4844,101440,6340,N,N,52833,7715,18.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),17.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.6,(X)
1600000US0137000,0137000,"Huntsville city, Alabama",74841,2444,42901,1917,30732,2104,31940,2684,11.7,2.0,8.3,2.4,1.5,0.8,18.1,3.8,6.2,1.6,3.0,1.4,1.8,1.3,11.3,3.2,11.0,1.9,7.0,2.0,2.9,1.4,16.6,3.5,12.6,1.9,10.9,2.3,9.0,2.6,14.4,3.0,12.4,1.7,11.0,1.9,10.4,2.3,13.4,3.0,16.1,2.0,18.0,2.8,20.2,3.3,12.8,3.0,9.6,1.7,11.9,2.0,14.8,2.8,6.8,2.3,11.5,1.8,16.9,3.0,21.8,3.7,4.0,1.7,4.7,1.1,7.4,1.9,9.8,2.6,1.1,0.8,4.0,1.2,5.7,1.7,7.7,2.4,1.5,1.3,44419,4013,61451,4874,80747,6644,27294,3673,65900,3846,82331,4964,N,N,42161,5049,31.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.1,(X)
1600000US0150000,0150000,"Mobile city, Alabama",75328,2724,43628,2060,24684,1769,31700,2635,14.3,2.3,11.8,3.0,4.1,2.0,18.2,4.0,6.9,1.4,4.4,1.5,2.1,1.5,11.2,2.7,13.8,2.1,12.2,2.5,7.1,2.5,16.4,3.5,12.2,1.9,10.3,2.5,8.0,2.7,15.6,3.3,15.1,2.1,16.0,2.7,16.6,3.4,13.0,3.1,17.6,2.4,17.9,3.0,19.7,3.9,16.3,3.5,6.0,1.4,8.2,1.7,13.0,3.0,2.5,1.4,7.4,1.2,10.6,1.9,16.6,3.2,3.5,1.5,3.3,1.1,4.0,1.5,5.0,1.6,1.9,1.3,3.4,0.9,4.6,1.4,7.9,2.4,1.5,1.1,37438,2401,46952,4737,62810,7754,26948,3442,55727,3971,66429,5353,N,N,39249,4678,23.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.1,(X)
1600000US0151000,0151000,"Montgomery city, Alabama",80035,2462,50998,2703,29394,2243,29037,2440,9.8,1.8,7.8,2.2,2.0,1.5,14.2,3.1,8.6,1.8,5.9,2.1,1.2,1.3,13.4,3.1,12.4,2.0,10.2,2.6,2.7,1.5,19.3,4.3,11.1,1.9,7.4,1.5,5.0,1.9,15.4,3.5,16.8,2.4,15.3,2.8,14.0,3.6,19.6,4.5,15.0,2.1,17.1,2.7,19.7,3.7,10.4,3.1,10.3,1.6,13.3,2.5,18.8,3.5,4.5,2.0,10.3,1.4,14.3,2.4,21.9,3.8,2.7,1.2,3.5,1.1,5.4,1.7,9.2,2.8,0.2,0.3,2.2,0.8,3.3,1.3,5.5,2.1,0.3,0.5,41380,1750,53125,4689,80662,5446,26695,3466,58057,3449,71013,5102,N,N,33273,2662,27.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.3,(X)
1600000US0177256,0177256,"Tuscaloosa city, Alabama",31827,2242,17665,1354,N,N,14162,2140,12.7,2.9,6.2,3.2,N,N,22.5,5.4,7.9,2.7,8.2,4.3,N,N,8.8,3.6,16.2,3.5,8.6,3.7,N,N,23.0,6.2,12.4,2.7,9.4,3.2,N,N,17.2,4.4,13.3,3.1,14.3,5.0,N,N,11.7,4.3,14.4,3.3,16.9,4.4,N,N,9.9,4.0,8.7,2.7,12.9,4.6,N,N,3.4,2.2,7.5,2.2,12.0,3.4,N,N,2.0,1.4,3.7,1.5,6.3,2.8,N,N,0.5,0.8,3.3,1.3,5.1,2.0,N,N,1.0,1.2,35838,4414,52438,7694,78301,16190,22323,2520,58819,7068,79636,12483,N,N,31796,5005,28.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.0,(X)
1600000US0203000,0203000,"Anchorage municipality, Alaska",104993,2002,70087,2693,52204,2940,34906,2834,3.6,1.0,3.4,1.1,1.1,0.9,5.6,2.0,4.2,1.0,2.6,0.8,0.9,0.7,7.9,2.6,7.1,1.4,5.4,1.5,1.7,0.8,11.4,3.1,8.4,1.5,6.3,1.5,4.6,1.6,12.1,3.2,9.3,1.4,7.5,1.5,6.1,1.5,13.3,3.1,19.0,1.9,18.1,2.4,18.4,2.8,20.5,3.5,14.1,1.8,15.2,2.2,16.2,2.4,11.7,3.1,18.7,1.7,20.7,2.2,24.7,2.9,12.9,3.2,7.7,1.4,10.1,1.9,13.3,2.6,3.0,1.2,7.8,1.4,10.7,2.0,13.1,2.5,1.7,1.0,72128,3531,85829,6993,101278,6328,49671,4887,91772,4360,105337,5734,N,N,60677,4106,22.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.4,(X)
1600000US0404720,0404720,"Avondale city, Arizona",21262,1195,17795,1047,N,N,3467,1132,5.0,2.8,5.7,3.4,N,N,7.3,6.1,7.4,3.2,7.4,3.6,N,N,5.5,6.7,3.1,1.7,1.6,1.0,N,N,10.6,9.2,7.7,3.8,8.6,4.4,N,N,3.1,4.1,17.5,4.6,19.7,5.5,N,N,20.1,13.5,26.2,5.8,25.2,6.0,N,N,17.4,12.2,11.8,3.9,10.5,3.9,N,N,17.2,10.4,16.5,4.3,15.7,4.5,N,N,18.9,13.2,4.1,2.3,4.9,2.8,N,N,0.0,6.0,0.7,0.7,0.9,0.8,N,N,0.0,6.0,61369,3206,60219,7061,64576,6023,57152,24705,66387,4752,65793,5366,N,N,61016,10946,34.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),46.6,(X)
