GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1600000US0107000,0107000,"Birmingham city, Alabama",214911,2144,49826,3905,156354,4422,438,413,1394,738,0,192,4626,2072,2273,1287,298,403,1975,1266
1600000US0121184,0121184,"Dothan city, Alabama",67536,296,42298,1148,22489,1123,238,181,770,163,140,227,178,169,1423,484,157,172,1266,467
1600000US0135896,0135896,"Hoover city, Alabama",84839,44,60365,3643,17378,3721,0,192,4505,2473,0,192,1055,1388,1536,937,211,300,1325,909
1600000US0137000,0137000,"Huntsville city, Alabama",189114,348,117924,4237,59235,3835,259,226,4785,1269,47,80,1839,1112,5025,1762,247,299,4778,1606
1600000US0150000,0150000,"Mobile city, Alabama",194305,64,89161,4538,93089,4491,372,269,4854,1261,0,192,1403,960,5426,2041,439,420,4987,1971
1600000US0151000,0151000,"Montgomery city, Alabama",200586,59,70322,2817,119588,2624,232,172,4575,1174,16,33,1624,1287,4229,1335,694,486,3535,1269
1600000US0177256,0177256,"Tuscaloosa city, Alabama",98338,39,52144,3014,42061,2909,128,126,2577,643,275,449,644,771,509,347,0,192,509,347
1600000US0203000,0203000,"Anchorage municipality, Alaska",298695,*****,188025,2294,18385,1519,19466,2343,29106,2220,5556,1761,9587,2764,28570,3898,2129,1379,26441,3968
1600000US0404720,0404720,"Avondale city, Arizona",80683,34,60327,3790,10505,2801,313,195,2243,1080,73,102,5097,1862,2125,1002,265,282,1860,912
1600000US0410670,0410670,"Casas Adobes CDP, Arizona",65265,4808,55162,4556,847,465,752,517,2082,799,603,756,1867,873,3952,1521,420,333,3532,1490
1600000US0412000,0412000,"Chandler city, Arizona",260833,52,199992,6301,12847,3134,3978,1620,28715,4932,0,201,5432,1633,9869,2392,1140,573,8729,2337
1600000US0423620,0423620,"Flagstaff city, Arizona",70317,23,55560,2170,1749,701,4520,1628,1830,592,183,218,3320,1382,3155,986,431,468,2724,1034
1600000US0427400,0427400,"Gilbert town, Arizona",247523,79,204014,5674,7024,2473,4009,2844,16558,3181,276,303,7688,2304,7954,2221,828,557,7126,2114
1600000US0427820,0427820,"Glendale city, Arizona",240114,68,193269,4851,12775,2582,1738,987,12331,2441,468,349,8996,2084,10537,2548,2786,1718,7751,1737
1600000US0428380,0428380,"Goodyear city, Arizona",79003,30,61361,3236,7878,2889,303,252,4700,2125,103,122,1973,1116,2685,1102,412,519,2273,1011
1600000US0446000,0446000,"Mesa city, Arizona",471833,63,397988,6410,17601,3457,10504,3351,10340,2503,2110,1132,16931,3057,16359,3054,2754,1338,13605,2954
1600000US0454050,0454050,"Peoria city, Arizona",171242,64,146359,5227,6167,2857,1808,1213,4752,1441,522,448,6187,3934,5447,1752,501,358,4946,1729
1600000US0455000,0455000,"Phoenix city, Arizona",1563001,125,1119488,16311,110408,7628,31203,4881,51845,5545,2672,1300,196022,13099,51363,5245,13578,3010,37785,4441
1600000US0464210,0464210,"San Tan Valley CDP, Arizona",82797,7215,71208,6872,1631,1211,2296,2668,954,594,0,201,2392,1208,4316,2128,1946,1537,2370,1705
1600000US0465000,0465000,"Scottsdale city, Arizona",236844,39,200629,6753,3831,1401,5212,4918,9212,2047,599,811,12182,5026,5179,1733,231,215,4948,1736
1600000US0471510,0471510,"Surprise city, Arizona",128442,81,110910,4186,7720,3302,267,447,1605,760,280,448,2959,1415,4701,1736,521,467,4180,1676
1600000US0473000,0473000,"Tempe city, Arizona",175826,32,124518,6080,9759,2862,3355,1517,14658,2573,821,724,16560,4779,6155,1631,1060,676,5095,1390
1600000US0477000,0477000,"Tucson city, Arizona",531674,124,386958,8456,27290,2971,17754,4802,16623,1694,641,582,61278,7765,21130,2882,4522,1504,16608,2394
1600000US0485540,0485540,"Yuma city, Arizona",94145,37,67688,4411,2868,1091,498,394,727,498,0,201,19880,4121,2484,987,860,541,1624,755
1600000US0523290,0523290,"Fayetteville city, Arkansas",82832,28,64520,2522,6403,1094,318,346,3305,1116,0,190,3976,2131,4310,1534,497,577,3813,1516
1600000US0524550,0524550,"Fort Smith city, Arkansas",88195,20,62947,2533,9447,479,1301,754,5210,681,0,190,5777,2410,3513,990,855,750,2658,979
1600000US0535710,0535710,"Jonesboro city, Arkansas",73906,22,54103,1674,12712,1701,1473,1216,1282,270,0,190,1813,947,2523,1362,0,190,2523,1362
1600000US0541000,0541000,"Little Rock city, Arkansas",197986,42,100467,4968,84068,4971,37,59,7412,1034,59,98,2860,2032,3083,1190,1000,797,2083,886
1600000US0566080,0566080,"Springdale city, Arkansas",80454,3051,55848,5391,1537,1003,259,236,1239,930,5227,539,14993,4207,1351,647,640,403,711,450
1600000US0600562,0600562,"Alameda city, California",78614,58,39158,3966,6085,2153,342,263,24025,4147,758,493,2309,1097,5937,1806,1161,765,4776,1738
1600000US0600884,0600884,"Alhambra city, California",85572,78,19318,2951,1508,1036,42,68,43279,3374,243,324,19292,3571,1890,1062,457,393,1433,922
1600000US0602000,0602000,"Anaheim city, California",350738,52,252059,8284,8238,2858,818,433,48515,5706,1362,1081,31181,5765,8565,2080,1702,638,6863,1953
1600000US0602252,0602252,"Antioch city, California",110542,43,45776,5145,21411,5233,1404,1527,11135,4113,2698,2428,19878,4689,8240,2194,3596,1770,4644,1522
1600000US0602364,0602364,"Apple Valley town, California",72185,47,57222,3046,6703,2295,782,1279,1322,731,45,95,2136,1189,3975,1691,666,553,3309,1659
1600000US0602553,0602553,"Arden-Arcade CDP, California",96276,5413,65115,5443,11373,3121,599,409,5938,1827,0,201,7949,2543,5302,1411,935,631,4367,1254
1600000US0603526,0603526,"Bakersfield city, California",373627,62,263245,7596,31245,3791,3791,1822,29215,3500,783,625,33263,6514,12085,3062,4764,1869,7321,2266
1600000US0603666,0603666,"Baldwin Park city, California",77056,57,35892,5294,1504,1312,237,231,14954,3505,0,201,22904,5255,1565,1051,1446,1057,119,120
1600000US0604982,0604982,"Bellflower city, California",78434,46,21887,3047,12191,2851,486,412,10080,2651,151,254,31732,4171,1907,918,651,467,1256,833
1600000US0606000,0606000,"Berkeley city, California",120971,32,76218,3952,9122,2333,666,395,22282,2755,100,117,4788,1774,7795,1476,1217,628,6578,1367
1600000US0608786,0608786,"Buena Park city, California",83264,39,46459,5158,790,529,158,201,23363,4005,1856,2011,8102,3018,2536,1043,925,622,1611,874
1600000US0608954,0608954,"Burbank city, California",105314,30,75789,4341,2842,1318,525,690,12866,2780,0,201,8726,2769,4566,1706,633,551,3933,1680
1600000US0610046,0610046,"Camarillo city, California",67623,57,56522,2557,919,802,28,52,5247,1542,0,201,1501,845,3406,1418,621,455,2785,1419
1600000US0611194,0611194,"Carlsbad city, California",113466,55,96043,3383,513,460,540,416,10219,2943,223,207,2584,1610,3344,1348,501,520,2843,1261
1600000US0611390,0611390,"Carmichael CDP, California",63215,5205,50066,4661,3123,1475,210,253,1617,798,268,313,2021,1909,5910,2527,179,207,5731,2526
1600000US0611530,0611530,"Carson city, California",93296,51,26187,4190,18859,3934,1579,1191,29489,4939,2389,1513,10763,3482,4030,1311,1472,745,2558,982
1600000US0613014,0613014,"Chico city, California",90336,76,75512,2127,1191,645,879,756,4554,1775,134,195,2777,831,5289,1328,519,456,4770,1209
1600000US0613210,0613210,"Chino city, California",85599,36,38503,3634,4386,1080,504,367,10959,2325,146,205,22650,3691,8451,1714,2232,966,6219,1417
1600000US0613214,0613214,"Chino Hills city, California",78313,45,37675,4649,3221,1782,719,836,26951,3616,124,214,7052,3496,2571,1075,267,335,2304,1047
1600000US0613392,0613392,"Chula Vista city, California",265754,41,173466,7485,13412,3697,823,556,42433,5832,1354,1159,22689,5048,11577,2423,2571,1066,9006,2255
1600000US0613588,0613588,"Citrus Heights city, California",87053,31,74148,3143,4782,2489,109,134,2215,1015,196,233,1613,843,3990,1274,631,376,3359,1155
1600000US0614218,0614218,"Clovis city, California",104172,39,74136,4621,2721,1801,731,756,12745,3125,0,201,9634,3292,4205,1282,959,568,3246,1119
1600000US0615044,0615044,"Compton city, California",98448,60,52935,5084,25938,3922,269,289,1624,1418,981,1535,15257,3264,1444,750,1202,726,242,234
1600000US0616000,0616000,"Concord city, California",128668,33,86429,5548,5168,2965,145,156,13828,3559,936,1198,15053,4009,7109,2362,2264,1777,4845,1552
1600000US0616350,0616350,"Corona city, California",164242,72,112825,5302,8235,2410,571,495,18099,3532,221,210,16866,4655,7425,1775,2232,1137,5193,1644
1600000US0616532,0616532,"Costa Mesa city, California",113186,65,84639,4492,2688,1625,1006,632,7676,1963,1256,1374,12782,3588,3139,984,503,447,2636,875
1600000US0617918,0617918,"Daly City city, California",106574,51,22619,3475,4570,1444,553,653,59688,4921,2255,1717,13342,3603,3547,1214,478,427,3069,1141
1600000US0618100,0618100,"Davis city, California",67656,40,43506,2499,1374,707,97,135,14682,2133,98,150,3061,1058,4838,1399,614,491,4224,1273
1600000US0619766,0619766,"Downey city, California",114211,38,76069,5005,4832,2172,243,235,8782,2086,101,117,21962,4616,2222,1103,1047,541,1175,841
1600000US0620802,0620802,"East Los Angeles CDP, California",119666,8790,48057,5926,363,341,451,350,945,622,0,201,68630,7712,1220,588,937,487,283,339
1600000US0621712,0621712,"El Cajon city, California",103688,42,78399,3992,5406,1843,168,183,2707,936,912,943,9377,3378,6719,2055,1201,942,5518,1715
1600000US0622020,0622020,"Elk Grove city, California",166890,98,75674,5826,16672,3888,379,258,50282,6352,3014,2159,6338,2117,14531,3418,2689,1264,11842,3563
1600000US0622230,0622230,"El Monte city, California",116745,48,63280,4621,274,198,426,345,32881,3968,130,162,18679,4367,1075,539,446,330,629,427
1600000US0622804,0622804,"Escondido city, California",151458,40,116093,5150,4333,1888,1333,879,12671,3642,393,424,10968,2733,5667,1918,1529,960,4138,1750
1600000US0623182,0623182,"Fairfield city, California",112972,33,57900,4498,15796,2538,578,480,18386,3328,1590,740,11433,3676,7289,1803,1062,542,6227,1653
1600000US0624638,0624638,"Folsom city, California",76368,32,53741,2978,2973,899,311,199,13405,2263,627,841,1271,444,4040,1456,780,510,3260,1283
1600000US0624680,0624680,"Fontana city, California",207472,61,79854,8153,14490,3568,1206,838,12449,3307,224,341,92082,8250,7167,2311,3347,1986,3820,1572
1600000US0626000,0626000,"Fremont city, California",232191,58,58670,5085,6071,2380,527,317,132865,5779,3959,1766,17885,5874,12214,2460,3342,1777,8872,2098
1600000US0627000,0627000,"Fresno city, California",520072,85,311604,9817,40021,3012,5904,1719,69359,4938,1257,678,75090,7974,16837,2965,3127,1259,13710,2581
1600000US0628000,0628000,"Fullerton city, California",140849,37,85666,5973,3174,1413,197,249,30849,4634,394,436,13746,4797,6823,1769,1201,584,5622,1610
1600000US0629000,0629000,"Garden Grove city, California",175384,59,64048,6144,1084,748,1148,819,70118,5760,558,430,35306,5558,3122,973,657,405,2465,863
1600000US0630000,0630000,"Glendale city, California",201025,38,142232,5581,3539,1709,167,172,38323,4568,371,343,11122,2757,5271,1474,518,318,4753,1431
1600000US0632548,0632548,"Hawthorne city, California",88444,40,22545,3667,20617,3726,339,305,7361,2185,132,167,35878,4868,1572,865,478,339,1094,776
1600000US0633000,0633000,"Hayward city, California",158300,58,67679,6303,16822,2916,941,564,41446,5060,3388,1421,18285,4388,9739,2343,2130,821,7609,2302
1600000US0633182,0633182,"Hemet city, California",83873,54,65152,4012,6421,2610,1181,905,3196,1764,649,803,4284,2090,2990,1167,605,530,2385,959
1600000US0633434,0633434,"Hesperia city, California",93286,41,76974,3516,4703,2139,1490,1641,1164,560,65,112,7102,2235,1788,824,586,395,1202,720
1600000US0636000,0636000,"Huntington Beach city, California",201927,102,145828,6502,2862,1330,1358,1232,22739,3764,643,557,17321,5789,11176,2556,2559,1595,8617,2042
1600000US0636448,0636448,"Indio city, California",87526,41,47273,5066,2887,2258,979,910,2120,1502,0,201,32462,4503,1805,873,688,457,1117,766
1600000US0636546,0636546,"Inglewood city, California",111656,42,31421,4874,42220,5374,416,341,1677,1096,71,132,32156,5241,3695,1126,432,369,3263,1202
1600000US0636770,0636770,"Irvine city, California",256927,35,116385,7927,7605,4039,207,219,116420,8132,362,538,4277,1071,11671,3006,757,428,10914,2945
1600000US0637692,0637692,"Jurupa Valley city, California",100314,33,56160,4852,2853,1401,987,879,4087,2798,69,131,34044,4529,2114,922,534,356,1580,820
1600000US0639248,0639248,"Laguna Niguel city, California",65812,36,52322,3157,397,348,800,1313,6683,2102,424,481,1494,1176,3692,1255,553,474,3139,1203
1600000US0639496,0639496,"Lake Forest city, California",82497,40,55977,4616,1717,1228,219,220,13868,3446,0,201,5745,2924,4971,1977,378,322,4593,1958
1600000US0639892,0639892,"Lakewood city, California",81592,75,40989,3937,5351,1508,142,178,17524,3621,2176,1656,11557,3067,3853,1271,1922,943,1931,798
1600000US0640130,0640130,"Lancaster city, California",161113,54,104759,5487,32622,5381,536,331,7274,2323,0,201,8969,1971,6953,1553,1638,790,5315,1422
