GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1600000US0107000,0107000,"Birmingham city, Alabama",231824,1399,56929,4973,165698,4690,516,367,2076,898,61,100,4689,2122,1855,969,115,198,1740,961
1600000US0121184,0121184,"Dothan city, Alabama",67162,367,42643,1159,21779,1109,134,121,852,182,0,273,517,306,1237,475,151,150,1086,453
1600000US0135896,0135896,"Hoover city, Alabama",77050,3230,56454,4164,10302,2669,102,157,5074,1704,0,273,4330,2285,788,660,372,547,416,400
1600000US0137000,0137000,"Huntsville city, Alabama",179706,1137,111766,3268,59165,3839,443,309,3415,1102,203,207,852,507,3862,1193,418,355,3444,1141
1600000US0150000,0150000,"Mobile city, Alabama",193195,46,88038,4118,98376,4185,435,288,3327,1278,0,273,533,388,2486,1677,274,268,2212,1665
1600000US0151000,0151000,"Montgomery city, Alabama",201465,3289,80968,2743,114145,2345,273,357,3179,380,286,322,369,288,2245,1047,0,273,2245,1047
1600000US0177256,0177256,"Tuscaloosa city, Alabama",93141,30,47274,2283,43012,2192,575,404,1543,907,0,273,212,181,525,337,144,195,381,262
1600000US0203000,0203000,"Anchorage municipality, Alaska",286174,*****,198618,2148,18239,1038,16318,2112,21325,1182,3659,240,6723,2146,21292,2585,1195,675,20097,2544
1600000US0404720,0404720,"Avondale city, Arizona",85227,55,66794,5285,8281,3373,374,472,2336,1179,0,305,6489,2833,953,749,322,444,631,608
1600000US0412000,0412000,"Chandler city, Arizona",249515,76,203522,6256,12510,5047,2746,1453,13339,3108,110,193,8125,2932,9163,3010,1518,1055,7645,2845
1600000US0427400,0427400,"Gilbert town, Arizona",222092,80,178983,7584,10276,3479,1119,734,13585,4389,128,164,9292,3908,8709,3530,1172,735,7537,3414
1600000US0427820,0427820,"Glendale city, Arizona",253210,42,200880,6283,14007,3756,4012,2069,8109,2384,288,337,15455,4405,10459,2855,2446,1602,8013,2513
1600000US0446000,0446000,"Mesa city, Arizona",467178,82,387655,8257,13264,3720,10344,3982,8909,2625,1422,1186,33047,6385,12537,3175,1873,933,10664,2926
1600000US0454050,0454050,"Peoria city, Arizona",162809,42,135106,5545,3961,1541,653,443,3413,1614,0,305,14309,5083,5367,1837,2547,1453,2820,1308
1600000US0455000,0455000,"Phoenix city, Arizona",1593660,61,1283185,18400,89123,8026,31409,5734,44853,5298,1709,1037,106996,12386,36385,4518,11028,2917,25357,3971
1600000US0465000,0465000,"Scottsdale city, Arizona",237834,45,216209,4276,5139,2676,2253,1351,7412,2545,0,305,4122,2360,2699,1193,667,636,2032,1032
1600000US0471510,0471510,"Surprise city, Arizona",95245,48,76035,4036,3650,1625,1515,1220,2116,1126,1387,1520,6948,3360,3594,1550,1076,1062,2518,1173
1600000US0473000,0473000,"Tempe city, Arizona",178526,40,141833,4937,5503,1968,4459,2875,12071,2659,705,916,6141,2005,7814,2568,1071,778,6743,2390
1600000US0477000,0477000,"Tucson city, Arizona",543907,50,423675,8783,26788,2723,16304,4618,13846,2439,223,260,47969,6679,15102,2943,3243,1298,11859,2642
1600000US0485540,0485540,"Yuma city, Arizona",91116,33,66254,4018,4484,1466,1635,803,961,565,330,474,15459,3508,1993,1086,578,399,1415,1025
1600000US0523290,0523290,"Fayetteville city, Arkansas",77142,29,64419,2228,5674,1193,1545,824,1734,957,0,273,2519,1570,1251,775,157,213,1094,726
1600000US0524550,0524550,"Fort Smith city, Arkansas",85549,22,68507,1435,6400,940,162,139,4093,878,0,273,1216,850,5171,1425,393,497,4778,1332
1600000US0535710,0535710,"Jonesboro city, Arkansas",66194,22,53078,473,11504,614,443,255,522,361,0,273,98,124,549,459,0,273,549,459
1600000US0541000,0541000,"Little Rock city, Arkansas",191929,33,98365,4488,77435,3653,881,622,4753,1305,83,138,5900,2623,4512,1870,163,178,4349,1843
1600000US0566080,0566080,"Springdale city, Arkansas",68651,2734,47475,3745,1550,1010,101,131,1680,1383,1512,223,14465,2868,1868,1178,533,571,1335,899
1600000US0600562,0600562,"Alameda city, California",71200,26,35343,3504,3471,1456,216,310,25032,3731,73,119,2441,1221,4624,1282,303,321,4321,1287
1600000US0600884,0600884,"Alhambra city, California",85077,41,32555,4885,1494,1079,544,544,42715,5068,0,294,5667,2299,2102,1025,677,569,1425,876
1600000US0602000,0602000,"Anaheim city, California",337899,50,183280,11447,10352,2398,1263,780,48182,5714,3306,2352,81866,10305,9650,2783,2352,1154,7298,2529
1600000US0602252,0602252,"Antioch city, California",101164,72,51852,5609,21547,4628,210,237,9396,2987,2300,2309,11738,4133,4121,1805,1370,1151,2751,1306
1600000US0602364,0602364,"Apple Valley town, California",70114,36,57271,3562,6776,2836,216,233,1638,1048,0,294,3029,1476,1184,617,70,116,1114,600
