GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1600000US0107000,0107000,"Birmingham city, Alabama",211458,468,50140,4133,156177,4695,751,530,2594,1008,0,190,1121,945,675,459,0,190,675,459
1600000US0121184,0121184,"Dothan city, Alabama",66384,742,42748,1338,20539,1172,285,112,652,307,17,32,930,360,1213,381,71,79,1142,348
1600000US0135896,0135896,"Hoover city, Alabama",80553,2772,59020,4717,7241,2457,525,606,5355,1467,0,190,7346,3268,1066,706,0,190,1066,706
1600000US0137000,0137000,"Huntsville city, Alabama",182354,766,114080,4722,55038,4066,1070,425,3313,1096,28,48,2734,1489,6091,2074,765,577,5326,1718
1600000US0150000,0150000,"Mobile city, Alabama",194887,96,89656,4189,98966,3881,302,397,2286,1204,112,192,1720,1002,1845,840,120,149,1725,835
1600000US0151000,0151000,"Montgomery city, Alabama",213132,3100,83403,2723,120140,2031,1045,703,4839,582,0,190,1299,1147,2406,940,433,621,1973,837
1600000US0203000,0203000,"Anchorage municipality, Alaska",295570,*****,196444,2566,16294,1734,19194,2718,23872,1647,6145,440,3140,1247,30481,3668,2778,1365,27703,3311
1600000US0410670,0410670,"Casas Adobes CDP, Arizona",67496,5518,61269,5195,874,493,233,246,2104,1192,58,119,1495,993,1463,829,335,325,1128,727
1600000US0412000,0412000,"Chandler city, Arizona",240098,44,195297,6423,13698,3495,2797,2227,15075,3371,262,351,2536,1674,10433,3300,2117,1857,8316,2769
1600000US0423620,0423620,"Flagstaff city, Arizona",65904,41,46911,2998,1242,518,8112,2301,1241,606,42,77,5345,1601,3011,1268,1376,1179,1635,608
1600000US0427400,0427400,"Gilbert town, Arizona",211964,61,180564,7020,6630,4852,1278,764,15131,4240,219,275,2536,1293,5606,2199,1770,1522,3836,1506
1600000US0427820,0427820,"Glendale city, Arizona",230466,74,174808,7266,9681,3394,1303,827,8234,2864,0,229,25988,6636,10452,3103,2644,1600,7808,2486
1600000US0428380,0428380,"Goodyear city, Arizona",66312,24,52616,3856,6860,3260,340,300,3349,1807,0,229,855,848,2292,1347,104,138,2188,1368
1600000US0446000,0446000,"Mesa city, Arizona",446498,88,362570,10377,21188,6930,9764,3585,7929,1995,2270,1298,29493,6541,13284,3309,3827,1403,9457,2785
1600000US0454050,0454050,"Peoria city, Arizona",156634,43,138662,4633,5275,2213,1288,1291,4179,2227,0,229,2138,1259,5092,3053,823,449,4269,3045
1600000US0455000,0455000,"Phoenix city, Arizona",1469484,75,1147215,15415,94911,7481,29628,5025,49531,6572,3030,1638,111100,13182,34069,4905,8530,2249,25539,4334
1600000US0464210,0464210,"San Tan Valley CDP, Arizona",83217,9257,63801,8552,5012,4262,4226,4483,0,229,0,229,6502,4209,3676,2948,467,753,3209,2812
1600000US0465000,0465000,"Scottsdale city, Arizona",221007,52,198187,4642,3354,2009,3028,2003,8140,2792,0,229,3066,1731,5232,2121,186,228,5046,2155
1600000US0473000,0473000,"Tempe city, Arizona",164264,35,127556,4740,10375,3308,1759,1162,11790,2853,1388,1251,4546,1892,6850,2040,1361,646,5489,1933
1600000US0477000,0477000,"Tucson city, Arizona",525798,53,403863,8428,27174,3329,10484,2674,14131,2350,735,777,52325,6461,17086,3404,4959,1684,12127,2674
1600000US0485540,0485540,"Yuma city, Arizona",94543,27,66309,5290,2910,870,1096,641,1842,450,54,97,20325,5351,2007,1039,706,583,1301,927
1600000US0523290,0523290,"Fayetteville city, Arkansas",75109,39,63458,1807,3887,1004,1089,937,3710,1031,52,91,1100,672,1813,913,223,283,1590,895
1600000US0524550,0524550,"Fort Smith city, Arkansas",87146,28,67868,1960,7431,1234,608,564,4747,756,227,357,1694,1078,4571,1558,1099,768,3472,1279
1600000US0541000,0541000,"Little Rock city, Arkansas",195310,37,96447,4698,86184,4425,277,390,6046,984,108,158,2488,1657,3760,1393,534,570,3226,1308
1600000US0566080,0566080,"Springdale city, Arkansas",73153,3905,46331,5650,1490,1289,1530,1146,1184,987,5224,1597,15241,3737,2153,1637,347,430,1806,1515
1600000US0600562,0600562,"Alameda city, California",74770,28,37530,3596,6044,2136,86,144,23652,3526,29,55,2102,1161,5327,2095,752,483,4575,1939
1600000US0600884,0600884,"Alhambra city, California",83703,49,23363,3898,1403,768,167,212,44697,4715,178,301,11723,3161,2172,862,689,481,1483,723
1600000US0602000,0602000,"Anaheim city, California",341348,67,214952,9628,9183,2462,1457,825,51707,6177,640,906,52109,7401,11300,2904,3767,1812,7533,1985
1600000US0602252,0602252,"Antioch city, California",104027,69,60651,6371,15737,4596,719,857,7520,3110,269,306,10203,4378,8928,3949,1377,908,7551,3932
1600000US0602364,0602364,"Apple Valley town, California",70173,24,57299,3336,5502,2587,250,285,1892,1158,0,208,2552,1118,2678,998,235,287,2443,955
