GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1600000US0107000,0107000,"Birmingham city, Alabama",213434,1446,52557,4677,152114,4691,490,413,1429,689,0,195,3462,1620,3382,1690,657,631,2725,1610
1600000US0121184,0121184,"Dothan city, Alabama",67714,288,41231,1226,23682,1051,201,164,977,124,0,195,729,586,894,313,75,83,819,293
1600000US0135896,0135896,"Hoover city, Alabama",84943,123,60222,2831,14217,2800,381,568,5477,1606,69,112,2493,1996,2084,1085,401,646,1683,983
1600000US0137000,0137000,"Huntsville city, Alabama",196225,2817,118960,4980,61834,4787,1148,745,5452,1565,250,82,4032,1718,4549,1178,311,278,4238,1159
1600000US0150000,0150000,"Mobile city, Alabama",192895,44,89571,4460,96103,4166,289,253,3555,1353,20,33,590,464,2767,1091,53,85,2714,1096
1600000US0151000,0151000,"Montgomery city, Alabama",200024,22,66047,2027,120280,2512,339,201,5469,1247,0,195,3477,1314,4412,2097,142,190,4270,2133
1600000US0177256,0177256,"Tuscaloosa city, Alabama",99556,48,50247,3032,45012,3103,34,63,2518,764,0,195,1145,849,600,352,0,195,600,352
1600000US0203000,0203000,"Anchorage municipality, Alaska",298192,*****,184841,2303,16102,1868,23916,2789,27142,2741,7669,230,7935,2536,30587,4037,1142,938,29445,3905
1600000US0404720,0404720,"Avondale city, Arizona",82875,36,52485,4842,8007,2676,2811,1720,3049,2220,142,190,13444,3837,2937,1173,378,305,2559,1075
1600000US0410670,0410670,"Casas Adobes CDP, Arizona",70589,5147,56299,5006,1887,1115,949,561,1930,1102,0,204,5206,2185,4318,1736,724,567,3594,1732
1600000US0412000,0412000,"Chandler city, Arizona",247459,76,192384,6037,13397,2831,4798,1950,21216,3556,93,158,5708,1983,9863,2306,1458,698,8405,2296
1600000US0423620,0423620,"Flagstaff city, Arizona",71455,22,56854,2135,1804,491,6074,2014,2217,700,163,238,1215,547,3128,1181,367,371,2761,1170
1600000US0427400,0427400,"Gilbert town, Arizona",237120,73,200099,6025,9482,3110,1284,918,12422,3325,945,711,3263,1237,9625,2636,1533,1201,8092,2233
1600000US0427820,0427820,"Glendale city, Arizona",245849,165,191090,5767,18925,3646,3923,1656,9289,2168,0,204,12731,4131,9891,2342,1636,936,8255,2128
1600000US0428380,0428380,"Goodyear city, Arizona",77266,44,54820,4099,8683,3035,657,348,2706,1396,230,372,5095,2643,5075,2887,547,507,4528,2801
1600000US0446000,0446000,"Mesa city, Arizona",484622,129,394155,7938,18359,3596,16166,4084,9735,2611,3037,1671,27512,5206,15658,2843,2283,865,13375,2751
1600000US0454050,0454050,"Peoria city, Arizona",164198,105,139418,4913,6083,2629,537,389,7115,2313,142,142,5299,1996,5604,1975,711,469,4893,2040
1600000US0455000,0455000,"Phoenix city, Arizona",1615041,96,1094662,19370,105572,7112,31693,4971,62518,5351,2728,1386,256025,16575,61843,7125,17710,5257,44133,5147
1600000US0464210,0464210,"San Tan Valley CDP, Arizona",82911,8009,70508,8065,4109,1801,434,582,4352,1234,117,202,1119,1026,2272,1373,300,343,1972,1268
1600000US0465000,0465000,"Scottsdale city, Arizona",246646,32,220371,4043,2391,975,1219,671,11301,2878,76,95,5905,2491,5383,1817,1033,926,4350,1482
1600000US0471510,0471510,"Surprise city, Arizona",132673,41,111199,4016,7564,2511,72,106,4623,1952,399,425,4377,2550,4439,1509,857,659,3582,1439
1600000US0473000,0473000,"Tempe city, Arizona",182499,41,120498,5916,15599,4619,3728,1512,16777,3216,646,744,16181,4101,9070,3187,1793,924,7277,2948
1600000US0477000,0477000,"Tucson city, Arizona",530690,77,392894,7501,26295,2777,13520,2780,16571,2431,722,597,53894,5833,26794,4198,5547,2117,21247,3674
1600000US0485540,0485540,"Yuma city, Arizona",94892,58,61744,4660,3292,1100,1359,954,1777,689,266,298,22625,4746,3829,1409,507,348,3322,1334
1600000US0515190,0515190,"Conway city, Arkansas",65300,18,48156,1737,10539,1470,121,136,1265,506,0,197,2156,1323,3063,1225,479,751,2584,933
1600000US0523290,0523290,"Fayetteville city, Arkansas",83823,33,67038,2758,5397,1420,1366,978,2611,935,66,132,4542,2398,2803,1077,352,310,2451,1059
1600000US0524550,0524550,"Fort Smith city, Arkansas",88122,40,57405,1991,8593,871,764,519,5547,740,74,143,13090,2338,2649,1002,462,431,2187,956
1600000US0535710,0535710,"Jonesboro city, Arkansas",74892,21,54712,1278,15121,1182,0,197,1358,164,0,197,2135,1075,1566,1231,317,386,1249,1133
1600000US0541000,0541000,"Little Rock city, Arkansas",198546,39,102531,5166,77802,4981,326,364,5169,1286,0,197,6401,2520,6317,2598,2717,2378,3600,1523
1600000US0560410,0560410,"Rogers city, Arkansas",65016,34,59523,1280,1069,611,356,315,1041,713,0,197,1218,643,1809,681,422,264,1387,640
1600000US0566080,0566080,"Springdale city, Arkansas",81799,2998,47888,4344,3265,1394,471,455,2010,1207,6207,501,19281,3340,2677,977,303,442,2374,891
1600000US0600562,0600562,"Alameda city, California",78907,29,37670,3285,7688,2794,96,115,23696,3441,29,52,4160,1959,5568,1267,451,345,5117,1246
1600000US0600884,0600884,"Alhambra city, California",85465,51,16749,2765,2515,1323,755,576,47433,3639,0,206,15955,3796,2058,937,613,514,1445,726
1600000US0602000,0602000,"Anaheim city, California",351066,89,248856,8104,8350,2901,2315,1618,57839,6587,2128,1433,21088,4034,10490,2215,1916,1010,8574,2127
1600000US0602252,0602252,"Antioch city, California",110876,85,43646,4272,28153,4433,463,338,11206,3645,79,159,17072,4387,10257,3450,1800,1285,8457,3156
1600000US0602364,0602364,"Apple Valley town, California",72542,47,56214,3263,9088,3301,942,657,1470,878,67,115,1679,753,3082,1414,500,453,2582,1356
1600000US0602553,0602553,"Arden-Arcade CDP, California",106061,8078,64431,5894,11253,2567,164,230,7406,2299,63,105,14364,4500,8380,3232,818,814,7562,3060
1600000US0603526,0603526,"Bakersfield city, California",376371,67,239824,9144,24364,3663,4766,3880,30417,3169,912,447,61860,8276,14228,2839,4542,1466,9686,2369
1600000US0603666,0603666,"Baldwin Park city, California",76465,28,20991,3320,1504,976,1454,1007,15073,3102,0,206,35621,4452,1822,1164,482,330,1340,1126
1600000US0604982,0604982,"Bellflower city, California",77789,32,24932,3188,8343,2289,357,340,8732,2870,37,60,31969,4565,3419,1350,2016,1149,1403,724
1600000US0606000,0606000,"Berkeley city, California",121241,34,72306,3498,11953,2468,362,238,24133,2556,512,469,2830,920,9145,1987,1534,1172,7611,1683
1600000US0608786,0608786,"Buena Park city, California",83148,48,40928,4719,2738,1356,1034,730,21345,4087,838,956,12476,4277,3789,1642,1213,928,2576,1315
1600000US0608954,0608954,"Burbank city, California",104451,39,71897,4356,3676,1802,602,528,12783,2575,55,95,10822,3332,4616,1528,1260,677,3356,1279
1600000US0610046,0610046,"Camarillo city, California",67345,57,51928,3051,1496,1102,221,274,7161,1876,0,206,1834,962,4705,1981,216,250,4489,1968
1600000US0611194,0611194,"Carlsbad city, California",113957,44,95906,3511,1407,1198,70,92,7557,2372,547,583,1958,1011,6512,2112,557,517,5955,2056
1600000US0611390,0611390,"Carmichael CDP, California",63064,5876,48970,4348,4276,2231,236,389,3548,2614,209,274,710,733,5115,1992,449,444,4666,1918
1600000US0611530,0611530,"Carson city, California",92821,87,23205,3738,23764,4323,254,268,24058,4562,2413,1610,14289,4511,4838,1453,1142,605,3696,1347
1600000US0611964,0611964,"Castro Valley CDP, California",65153,4863,37216,4073,5965,2846,741,564,15544,3024,232,254,1092,538,4363,1412,308,243,4055,1353
1600000US0613014,0613014,"Chico city, California",91545,73,76753,2174,2661,1061,489,355,3313,1257,279,436,4210,1557,3840,1215,649,521,3191,994
1600000US0613210,0613210,"Chino city, California",87771,43,44796,4060,5269,1397,229,220,10427,2134,99,105,21436,3967,5515,1298,2024,678,3491,1130
1600000US0613214,0613214,"Chino Hills city, California",78821,38,36849,4649,2384,971,688,574,26435,3487,85,167,8141,2983,4239,2018,2031,1883,2208,794
1600000US0613392,0613392,"Chula Vista city, California",267169,40,179666,8011,9150,2841,1018,950,40423,6342,2465,1698,16892,3118,17555,4457,4677,2218,12878,3353
1600000US0613588,0613588,"Citrus Heights city, California",87444,52,73250,2575,2497,1018,340,259,4085,1675,0,206,2675,1188,4597,1306,473,363,4124,1243
1600000US0614218,0614218,"Clovis city, California",106587,47,72172,4932,3098,1557,467,382,11440,2874,0,206,14120,4673,5290,1630,782,448,4508,1500
1600000US0615044,0615044,"Compton city, California",97537,56,36973,5420,26965,4719,458,433,930,575,0,206,30689,5260,1522,645,294,299,1228,592
1600000US0616000,0616000,"Concord city, California",128728,36,78768,5759,5744,2053,510,524,15504,3494,1050,1274,15625,4782,11527,2802,1881,1442,9646,2426
1600000US0616350,0616350,"Corona city, California",166774,60,109979,6700,6685,1942,1021,1008,21124,4323,1330,945,19006,5917,7629,1928,2091,1230,5538,1553
1600000US0616532,0616532,"Costa Mesa city, California",112825,31,86172,3791,1847,995,501,471,8722,2127,959,795,10673,3056,3951,1248,837,524,3114,1118
1600000US0617918,0617918,"Daly City city, California",106484,51,18424,3214,2283,976,613,608,69028,4321,1756,1458,10393,3360,3987,1329,1718,1071,2269,1050
1600000US0618100,0618100,"Davis city, California",68107,31,44250,2762,1871,916,0,206,14989,2291,388,399,3139,1301,3470,1231,273,216,3197,1194
1600000US0619766,0619766,"Downey city, California",113267,35,74414,5372,3145,2008,388,316,11489,3058,62,100,21344,4345,2425,1034,1043,684,1382,713
1600000US0620802,0620802,"East Los Angeles CDP, California",127804,9683,46625,6060,367,334,501,493,1258,926,0,206,76414,7859,2639,1714,2204,1689,435,247
1600000US0621712,0621712,"El Cajon city, California",103769,36,68209,5218,6248,1970,1720,1913,2519,1071,130,216,16700,5202,8243,2669,1387,1011,6856,2339
1600000US0622020,0622020,"Elk Grove city, California",169780,123,80768,5773,14473,3030,1000,613,48940,6318,3116,1633,5954,2130,15529,3524,1747,795,13782,3268
1600000US0622230,0622230,"El Monte city, California",115800,44,39737,4631,878,498,993,968,35524,4880,420,347,36639,5273,1609,1175,405,336,1204,1133
1600000US0622804,0622804,"Escondido city, California",151594,80,112916,5547,4943,1673,2450,1574,12268,3221,1209,987,12246,4001,5562,1597,563,446,4999,1593
1600000US0623182,0623182,"Fairfield city, California",114757,33,53856,4472,19644,3563,316,270,16835,2846,973,683,13214,3061,9919,1952,1454,826,8465,1974
1600000US0624638,0624638,"Folsom city, California",77278,37,54490,3015,2047,650,523,540,12476,2368,251,198,2532,833,4959,1301,830,608,4129,1221
1600000US0624680,0624680,"Fontana city, California",209659,44,92451,9463,14015,4312,1502,1140,14651,3445,1143,1361,77696,8916,8201,3211,2454,1207,5747,2735
1600000US0626000,0626000,"Fremont city, California",233145,48,53272,6402,8830,3041,853,505,136066,6995,2245,1357,22290,6657,9589,2250,1821,1108,7768,1865
1600000US0627000,0627000,"Fresno city, California",522021,114,313249,8457,39537,3076,5854,1531,76526,3883,982,634,65978,6838,19895,4087,3987,1503,15908,4027
1600000US0628000,0628000,"Fullerton city, California",140734,56,76843,6608,3838,1206,395,357,35250,5235,144,183,15588,5403,8676,2922,1367,1086,7309,2857
1600000US0629000,0629000,"Garden Grove city, California",174877,78,68506,6329,2518,1181,899,536,73572,5845,233,263,24630,5169,4519,1305,851,625,3668,1176
1600000US0630000,0630000,"Glendale city, California",200826,41,148856,6002,3623,1439,36,60,30555,5454,214,255,9665,3004,7877,1922,1694,893,6183,1796
1600000US0632548,0632548,"Hawthorne city, California",88032,30,25100,3727,19413,3654,376,628,5058,2269,438,398,33520,4852,4127,1553,805,653,3322,1375
1600000US0633000,0633000,"Hayward city, California",158969,110,70470,6095,11846,3057,1039,641,40554,4440,4808,1523,20275,4860,9977,2316,1701,732,8276,2103
1600000US0633182,0633182,"Hemet city, California",84277,36,60621,4686,8418,3377,1587,1480,3436,2264,646,724,4927,1912,4642,1823,489,411,4153,1747
1600000US0633434,0633434,"Hesperia city, California",93714,48,79105,3192,3386,2106,1197,1185,1308,709,420,565,6314,1797,1984,928,743,586,1241,664
1600000US0636000,0636000,"Huntington Beach city, California",200631,78,145875,6383,4115,2256,789,667,22652,3194,1319,1019,16990,5253,8891,1914,1383,954,7508,1884
1600000US0636448,0636448,"Indio city, California",88484,32,43621,5052,3121,2291,713,541,2977,2175,0,206,34803,4963,3249,3174,2373,3015,876,520
1600000US0636546,0636546,"Inglewood city, California",110667,55,23175,4496,50426,5405,1190,721,2757,1244,317,502,27506,5276,5296,2065,2062,1474,3234,1425
1600000US0636770,0636770,"Irvine city, California",266117,43,128156,8710,2985,1573,79,133,115156,8519,1280,1147,6058,1841,12403,2913,333,250,12070,2863
1600000US0637692,0637692,"Jurupa Valley city, California",103543,27,55876,5713,2697,1498,562,421,3220,1304,164,295,38283,5575,2741,1518,1731,1384,1010,587
1600000US0639248,0639248,"Laguna Niguel city, California",65328,30,50567,3057,1038,660,0,206,6464,1594,63,111,4319,2607,2877,1033,736,519,2141,930
1600000US0639496,0639496,"Lake Forest city, California",83236,33,57897,3832,2422,1222,774,751,14035,3777,50,100,5044,2585,3014,1419,554,686,2460,1238
1600000US0639892,0639892,"Lakewood city, California",81121,70,35226,3689,7879,3189,191,183,18132,3788,332,526,13911,3939,5450,1478,1587,1061,3863,1022
1600000US0640130,0640130,"Lancaster city, California",160107,38,98986,5819,33008,5665,744,478,8726,2259,144,128,8942,2172,9557,2088,2297,1284,7260,1502
1600000US0641992,0641992,"Livermore city, California",89118,31,67091,3199,784,641,197,190,10518,2264,697,715,3660,1694,6171,1659,2435,1119,3736,1259
1600000US0643000,0643000,"Long Beach city, California",470140,65,236983,9152,59157,5712,3466,1645,58987,7216,4459,1953,81756,7565,25332,3514,4057,1283,21275,3364
1600000US0644000,0644000,"Los Angeles city, California",3976324,60,2079698,28963,350543,12059,26861,4195,452848,14976,5687,1804,917994,27133,142693,7415,36507,4305,106186,5873
1600000US0644574,0644574,"Lynwood city, California",71184,29,46024,4651,5908,2271,912,739,440,359,849,1177,15754,4119,1297,987,645,641,652,772
1600000US0645484,0645484,"Manteca city, California",76912,37,53169,3828,3478,1658,951,674,5691,2364,605,591,7502,3179,5516,1704,905,488,4611,1751
1600000US0646842,0646842,"Menifee city, California",88510,73,53175,4523,6773,2447,8,18,7407,2575,24,57,15920,3925,5203,1584,1756,922,3447,1265
1600000US0646898,0646898,"Merced city, California",82573,77,46295,4020,6249,1192,348,314,9445,2211,0,206,17905,3695,2331,1132,838,730,1493,792
1600000US0647766,0647766,"Milpitas city, California",77534,34,7132,1637,2404,1558,179,168,57667,3276,235,177,6337,2289,3580,1234,1471,1053,2109,781
1600000US0648256,0648256,"Mission Viejo city, California",96386,50,78098,3476,629,482,117,101,10790,2852,273,348,1219,648,5260,1769,1145,828,4115,1446
1600000US0648354,0648354,"Modesto city, California",212172,38,151280,6246,10282,2242,1315,712,15051,3057,1326,853,21976,4878,10942,2300,2597,1234,8345,2152
1600000US0649270,0649270,"Moreno Valley city, California",205516,68,61766,7659,37136,5324,411,321,12067,3235,1030,1044,87817,7936,5289,1469,1364,674,3925,1221
1600000US0649670,0649670,"Mountain View city, California",80459,56,41580,3710,1620,888,718,942,23434,3720,933,953,7904,3959,4270,1244,434,454,3836,1118
1600000US0650076,0650076,"Murrieta city, California",111682,42,68812,7518,4585,2809,1550,1392,12427,4917,1093,1133,11968,4404,11247,2870,1870,1285,9377,2796
1600000US0650258,0650258,"Napa city, California",80412,32,67757,2986,333,235,672,566,2504,807,0,206,6813,2611,2333,971,708,581,1625,622
1600000US0651182,0651182,"Newport Beach city, California",86683,28,74633,2632,632,460,81,139,8327,2612,0,206,492,325,2518,965,342,316,2176,902
1600000US0652526,0652526,"Norwalk city, California",106161,72,41530,5514,7134,2970,363,338,13786,3265,92,125,38267,5933,4989,1715,1813,984,3176,1223
1600000US0653000,0653000,"Oakland city, California",419987,81,145374,7031,98666,5573,4168,1904,69038,6549,2201,866,69133,6965,31407,4183,5508,2015,25899,3694
1600000US0653322,0653322,"Oceanside city, California",175441,87,136832,4599,7395,2694,525,305,12334,2608,1685,1565,6041,1978,10629,2433,1318,778,9311,2266
1600000US0653896,0653896,"Ontario city, California",173211,43,83833,6119,12635,3220,1099,750,9731,2423,407,504,58186,6245,7320,2102,3320,1463,4000,1294
1600000US0653980,0653980,"Orange city, California",140507,43,102293,5549,2424,1455,943,1161,15032,3221,385,405,15223,4778,4207,1230,492,280,3715,1224
1600000US0654652,0654652,"Oxnard city, California",207911,41,158819,5496,5260,1314,2201,2030,13889,3177,267,212,22627,4182,4848,1552,1229,599,3619,1405
1600000US0655156,0655156,"Palmdale city, California",157349,43,71900,6055,15724,3834,942,829,6942,2641,105,168,49565,6023,12171,3499,5183,1857,6988,3047
1600000US0655282,0655282,"Palo Alto city, California",67021,24,43085,2879,450,431,442,399,19438,2769,61,98,980,638,2565,944,586,643,1979,821
1600000US0656000,0656000,"Pasadena city, California",142052,49,75089,4821,14552,2846,1725,1945,24071,4173,615,645,20468,4212,5532,1440,937,530,4595,1328
1600000US0656700,0656700,"Perris city, California",76330,29,23023,5084,8299,3249,1224,1092,3460,2476,0,206,39074,5412,1250,748,398,362,852,540
