GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1600000US0107000,0107000,"Birmingham city, Alabama",217131,8773,48429,4644,161911,7081,130,171,2041,1031,0,265,2290,1221,2330,948,84,132,2246,945
1600000US0135896,0135896,"Hoover city, Alabama",71832,5802,56964,4604,10734,3290,255,375,2928,1434,0,265,493,440,458,373,0,265,458,373
1600000US0137000,0137000,"Huntsville city, Alabama",166747,5626,104445,5003,53284,3145,604,373,3487,869,0,265,2314,1168,2613,982,140,222,2473,923
1600000US0150000,0150000,"Mobile city, Alabama",194822,7225,93981,5708,93414,5237,487,279,3557,1482,677,1059,910,570,1796,660,161,264,1635,608
1600000US0151000,0151000,"Montgomery city, Alabama",202443,3634,86957,2253,108858,2937,429,259,3306,185,173,230,743,466,1977,722,484,440,1493,576
1600000US0177256,0177256,"Tuscaloosa city, Alabama",76589,4086,41528,3502,32682,2914,61,122,771,664,0,265,1030,697,517,403,92,185,425,325
1600000US0203000,0203000,"Anchorage municipality, Alaska",278700,*****,195857,2019,15400,1807,15011,1854,16936,1555,2932,561,5625,1653,26939,3818,1441,798,25498,3821
1600000US0404720,0404720,"Avondale city, Arizona",59482,6698,39904,6238,3778,1745,316,278,1703,1152,0,291,11587,3038,2194,847,955,520,1239,661
1600000US0412000,0412000,"Chandler city, Arizona",241064,12806,195259,12547,8618,3134,2616,2013,15538,3605,498,586,12929,3575,5606,1481,1307,671,4299,1519
1600000US0427400,0427400,"Gilbert town, Arizona",171494,9003,139966,7942,4848,2287,1541,811,9140,2528,858,1001,11263,3539,3878,1350,838,714,3040,1157
1600000US0427820,0427820,"Glendale city, Arizona",236492,12116,183534,10529,8998,3067,4796,2298,8637,3012,637,574,23728,5047,6162,2063,2934,1339,3228,1591
1600000US0446000,0446000,"Mesa city, Arizona",493077,19847,415463,17221,12869,3220,7772,2321,9885,2452,779,870,33706,6455,12603,3208,2944,1281,9659,2952
1600000US0454050,0454050,"Peoria city, Arizona",150481,9350,131111,8359,3646,2130,628,461,4453,2042,110,145,7267,2658,3266,1216,1568,913,1698,758
1600000US0455000,0455000,"Phoenix city, Arizona",1429637,26808,1095197,24879,80103,6962,25357,4526,33073,4828,2952,1291,165642,14528,27313,4106,8238,2119,19075,3274
1600000US0465000,0465000,"Scottsdale city, Arizona",222275,11143,202484,10703,3558,2174,498,478,7706,2095,339,429,4714,2572,2976,954,458,349,2518,937
1600000US0471510,0471510,"Surprise city, Arizona",103402,7940,78926,6921,4660,2171,623,462,2224,1439,0,291,14534,4427,2435,964,854,582,1581,734
1600000US0473000,0473000,"Tempe city, Arizona",159765,9610,128075,9270,5600,1731,4867,1699,11071,2916,195,224,5683,1762,4274,1640,423,410,3851,1562
1600000US0477000,0477000,"Tucson city, Arizona",516084,11026,325507,9436,22699,2298,18638,3703,14602,2291,1198,184,113983,9136,19457,3346,8548,2284,10909,2401
1600000US0485540,0485540,"Yuma city, Arizona",96120,5730,64951,5239,3254,875,950,577,2112,235,0,291,22598,4348,2255,889,1107,676,1148,498
1600000US0523290,0523290,"Fayetteville city, Arkansas",63886,4301,53002,3930,4553,898,527,359,1777,918,0,257,3017,1401,1010,562,54,94,956,554
1600000US0524550,0524550,"Fort Smith city, Arkansas",82233,3246,60150,3374,7702,1013,751,430,3567,846,0,257,6605,1643,3458,1408,704,580,2754,1201
1600000US0541000,0541000,"Little Rock city, Arkansas",187535,6763,98888,4669,78516,4766,672,655,4501,881,92,112,3288,1747,1578,806,234,343,1344,717
