GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1600000US0107000,0107000,"Birmingham city, Alabama",93467,2898,47331,2484,20643,1999,46136,3508,14.9,1.9,12.2,2.3,1.7,1.3,18.6,3.1,9.0,1.5,5.4,1.5,2.5,1.8,13.1,2.5,17.5,1.9,16.8,2.5,8.0,3.4,18.9,2.9,11.1,1.6,10.4,2.0,7.6,2.9,12.1,2.7,14.0,1.8,13.6,2.0,12.7,3.1,13.1,2.6,16.0,2.1,17.8,2.8,25.5,4.8,13.5,2.8,8.1,1.5,10.6,2.4,18.6,4.6,5.6,1.8,6.5,1.4,8.8,2.3,13.7,4.3,3.5,1.5,1.7,0.7,2.2,1.2,4.8,2.5,1.0,0.8,1.3,0.5,2.1,0.9,4.9,2.0,0.5,0.5,32378,2224,39953,3048,66704,4521,24613,2741,45685,2107,54599,3462,N,N,35224,2763,44.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),46.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),42.4,(X)
1600000US0121184,0121184,"Dothan city, Alabama",25709,771,16686,792,10918,663,9023,796,9.2,1.2,7.1,1.5,1.3,0.9,14.6,2.5,6.9,1.6,3.5,1.1,1.0,0.6,13.8,3.5,13.9,1.9,10.9,2.2,6.1,1.4,19.5,3.6,10.5,1.7,9.6,2.2,8.6,2.7,12.1,2.8,14.7,1.6,14.5,2.2,13.4,2.6,15.0,2.7,19.7,2.3,22.2,3.2,24.0,3.4,14.1,3.0,8.9,1.4,10.9,1.8,14.6,2.6,4.8,1.9,9.0,1.2,11.4,1.7,16.9,2.5,4.1,2.0,2.6,0.6,3.2,0.8,4.8,1.3,1.3,1.0,4.7,1.0,6.9,1.5,9.2,2.6,0.7,0.5,44208,2572,54293,2783,69178,3342,26479,3668,64798,3705,77972,4876,N,N,38718,4202,38.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),36.5,(X)
1600000US0135896,0135896,"Hoover city, Alabama",32767,2053,23304,1142,N,N,9463,1857,2.8,1.4,1.5,1.3,N,N,5.9,3.1,2.5,1.1,1.3,1.3,N,N,5.4,3.2,4.8,1.9,2.3,1.6,N,N,10.9,5.0,8.2,2.1,6.5,2.5,N,N,13.0,4.8,12.4,3.0,8.5,2.9,N,N,22.4,7.1,17.5,3.7,15.2,3.8,N,N,23.0,8.5,12.0,2.8,15.9,3.9,N,N,4.8,3.4,19.8,3.3,22.2,4.2,N,N,11.1,4.8,10.2,2.7,13.6,3.7,N,N,1.1,1.3,9.9,2.4,13.0,3.3,N,N,2.4,2.4,77365,6217,97000,11477,109194,11735,45006,4473,100662,7111,118486,9104,N,N,55200,7012,28.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.4,(X)
1600000US0137000,0137000,"Huntsville city, Alabama",83144,2373,46014,2393,31985,1995,37130,2509,8.2,1.8,5.5,1.7,2.3,1.3,11.7,3.0,7.7,1.7,4.7,2.0,1.8,1.1,11.3,2.9,12.1,1.9,9.4,2.4,6.2,2.2,16.9,3.6,11.3,1.8,10.2,2.3,6.7,2.1,13.0,2.8,12.8,2.0,9.5,2.1,6.9,1.8,15.6,3.9,15.7,2.2,15.3,2.7,15.9,3.1,15.6,3.3,9.5,1.7,10.0,2.0,12.8,2.5,8.8,2.8,12.3,1.6,18.4,2.5,23.7,3.4,4.7,1.6,5.8,1.1,9.1,1.8,12.4,2.7,1.7,1.1,4.7,1.1,7.9,2.0,11.3,2.8,0.7,0.5,46769,3461,66892,4983,93817,8698,32871,3481,72069,4827,93349,8544,N,N,45158,4731,30.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.2,(X)
1600000US0150000,0150000,"Mobile city, Alabama",77701,2772,44116,2205,26191,2182,33585,2781,12.1,1.6,7.6,2.0,0.3,0.4,18.9,2.7,7.5,1.4,3.8,1.4,1.9,1.3,12.1,2.5,15.5,2.1,11.9,2.7,3.5,1.5,20.6,3.3,10.4,1.8,9.7,2.3,8.2,2.6,11.3,2.6,14.2,1.6,14.1,2.0,12.2,2.6,14.6,2.8,17.0,1.9,19.5,3.1,23.6,4.2,13.6,2.4,7.7,1.2,11.1,1.9,15.2,2.8,3.6,1.3,9.4,1.5,14.0,2.5,21.1,4.1,3.1,1.1,3.1,1.0,3.7,1.4,6.2,2.3,1.7,1.2,3.0,1.1,4.6,1.5,7.6,2.5,0.5,0.8,38678,2785,53122,4307,75437,6227,23720,3209,56155,3503,71213,5428,N,N,34659,3555,41.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),39.1,(X)
1600000US0151000,0151000,"Montgomery city, Alabama",80655,2307,49756,2481,28427,1762,30899,2423,10.2,1.8,8.4,2.6,1.4,1.0,15.2,3.3,6.5,1.7,5.4,2.0,2.4,1.9,8.7,2.7,13.8,2.3,11.6,2.3,4.6,1.7,19.6,4.6,11.9,2.0,10.0,2.1,7.1,2.2,13.4,3.4,14.6,2.2,13.0,2.6,11.8,3.4,15.1,3.6,17.3,2.2,18.8,3.2,21.9,4.2,15.9,3.7,9.7,1.5,10.8,2.0,16.9,3.1,6.6,2.3,9.0,1.4,12.2,2.0,18.3,3.1,3.3,1.7,3.1,0.9,4.4,1.5,6.9,2.3,0.9,0.7,3.8,1.1,5.4,1.7,8.8,2.8,1.3,0.8,41836,2185,52075,4581,76572,6643,30362,4079,60788,3628,71203,5190,N,N,41881,4661,38.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.9,(X)
1600000US0177256,0177256,"Tuscaloosa city, Alabama",33270,1647,19022,1531,N,N,14248,1799,13.1,2.6,7.4,3.2,N,N,20.7,4.6,7.0,2.5,3.9,2.1,N,N,13.8,5.4,10.9,2.3,10.8,3.4,N,N,13.4,3.7,11.7,2.8,10.3,3.2,N,N,10.6,3.8,11.7,2.5,10.3,3.2,N,N,13.2,3.9,15.7,3.6,18.2,4.6,N,N,11.2,4.3,10.7,2.5,12.6,3.8,N,N,8.1,3.8,10.5,2.6,13.8,3.9,N,N,5.5,3.4,4.4,1.6,5.6,2.2,N,N,2.8,3.1,4.3,1.2,7.1,2.0,N,N,0.6,0.8,44125,3645,57657,4578,88979,9511,26575,5638,65801,4003,83511,7074,N,N,40415,6188,46.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),50.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),39.6,(X)
1600000US0203000,0203000,"Anchorage municipality, Alaska",104936,1982,67371,2131,46824,2242,37565,2505,3.3,1.1,2.4,1.0,0.4,0.4,5.4,2.3,2.7,0.9,1.5,0.8,0.7,0.4,4.9,1.9,5.2,1.2,5.2,1.5,1.6,0.9,6.7,2.3,7.5,1.5,5.2,1.6,2.5,0.9,11.4,2.6,11.5,1.8,8.9,1.7,6.8,1.8,16.6,3.6,16.9,1.9,16.7,2.5,15.2,2.5,19.3,3.1,13.7,2.0,12.2,2.3,13.2,2.5,15.2,3.4,20.8,2.2,24.7,3.1,29.7,3.7,13.8,3.1,9.7,1.4,11.8,1.7,15.9,2.2,2.9,1.1,8.7,1.4,11.3,1.9,14.1,2.4,3.8,1.8,78662,3684,94419,7728,113837,5651,53809,4855,105888,6087,120723,7958,N,N,73528,8265,30.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.8,(X)
1600000US0404720,0404720,"Avondale city, Arizona",25329,1223,17791,864,N,N,7538,1310,6.3,2.6,6.1,2.9,N,N,7.6,4.9,2.9,1.1,2.2,1.5,N,N,6.7,3.6,8.3,2.3,7.4,2.3,N,N,11.1,5.3,11.6,2.9,12.7,4.1,N,N,15.2,5.7,16.1,3.8,13.7,3.1,N,N,23.5,9.2,23.5,4.1,23.6,4.5,N,N,21.1,6.9,14.6,3.0,14.6,3.3,N,N,9.4,5.7,12.9,2.7,15.1,3.5,N,N,4.0,3.0,3.0,1.4,3.6,1.8,N,N,1.3,1.6,0.8,0.8,1.0,1.1,N,N,0.0,2.2,54686,4882,58777,5223,71384,4559,41586,5602,62299,4814,66204,6304,N,N,45337,4885,33.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.8,(X)
