GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1600000US0107000,0107000,"Birmingham city, Alabama",212744,1671,52427,5140,151314,5049,380,392,2474,805,271,457,2718,1663,3160,1356,201,276,2959,1307
1600000US0121184,0121184,"Dothan city, Alabama",67526,580,43454,1325,21741,1182,71,91,674,203,0,200,99,98,1487,514,62,107,1425,476
1600000US0135896,0135896,"Hoover city, Alabama",84937,66,63947,3189,12888,3340,109,145,5581,1785,0,200,612,568,1800,999,476,649,1324,783
1600000US0137000,0137000,"Huntsville city, Alabama",195369,1502,119757,4664,61312,3548,421,300,5429,1144,0,200,3022,1515,5428,1607,593,430,4835,1621
1600000US0150000,0150000,"Mobile city, Alabama",190273,44,81651,4151,99489,4295,313,265,3073,1131,0,200,2076,1168,3671,1510,239,311,3432,1459
1600000US0151000,0151000,"Montgomery city, Alabama",199525,34,67441,2187,120350,2535,311,466,5906,793,51,100,2034,964,3432,1303,676,520,2756,1187
1600000US0177256,0177256,"Tuscaloosa city, Alabama",100296,38,49185,3438,46562,3181,755,909,1861,1001,115,137,162,288,1656,1082,631,957,1025,558
1600000US0203000,0203000,"Anchorage municipality, Alaska",294356,*****,182307,2690,14810,1511,22906,4057,31646,2025,7791,477,7077,1855,27819,4431,1618,1027,26201,4262
1600000US0404720,0404720,"Avondale city, Arizona",84034,49,62317,4338,7312,2613,1827,1671,1480,699,577,586,7240,2573,3281,1086,677,540,2604,946
1600000US0407940,0407940,"Buckeye city, Arizona",68431,80,44922,5692,3115,1488,1216,910,3620,2607,286,267,12758,4856,2514,1146,963,594,1551,1014
1600000US0410670,0410670,"Casas Adobes CDP, Arizona",73668,5807,61536,5639,2214,1542,878,619,3515,1791,49,81,2178,910,3298,1145,824,619,2474,1005
1600000US0412000,0412000,"Chandler city, Arizona",253448,54,196427,5327,15065,3615,1914,1087,25208,3542,507,768,4233,1379,10094,2107,2099,1081,7995,1864
1600000US0423620,0423620,"Flagstaff city, Arizona",71975,21,61793,1948,1083,521,2739,921,1978,847,318,334,623,379,3441,1189,244,259,3197,1169
1600000US0427400,0427400,"Gilbert town, Arizona",242362,55,205175,4898,6401,2251,1662,1079,12125,2670,62,84,6395,2658,10542,2671,2421,1967,8121,2044
1600000US0427820,0427820,"Glendale city, Arizona",246708,45,184004,7229,19568,5095,5090,2348,11402,2861,1682,1746,14856,3496,10106,2751,2200,869,7906,2692
1600000US0428380,0428380,"Goodyear city, Arizona",79850,40,57322,4673,6981,3149,2066,1958,4449,2106,28,53,6250,3448,2754,1101,374,330,2380,1088
1600000US0446000,0446000,"Mesa city, Arizona",496395,55,397828,8268,18938,4078,10060,2373,10121,1979,1798,894,38260,6199,19390,4060,2875,1272,16515,3665
1600000US0454050,0454050,"Peoria city, Arizona",168174,53,140642,4018,4747,1827,1012,592,7522,2325,670,553,7025,2644,6556,1815,1246,531,5310,1818
1600000US0455000,0455000,"Phoenix city, Arizona",1626085,78,1192925,18710,117767,8005,32710,4685,65216,6300,3595,1913,146078,13951,67794,6903,12338,3531,55456,6672
1600000US0464210,0464210,"San Tan Valley CDP, Arizona",92851,8533,79989,7826,2960,1710,435,387,2466,1367,150,192,1839,1295,5012,3131,813,1111,4199,2944
1600000US0465000,0465000,"Scottsdale city, Arizona",249947,34,222396,5228,6400,3479,1705,1322,11946,3237,0,208,2325,1270,5175,1419,639,555,4536,1458
1600000US0471510,0471510,"Surprise city, Arizona",134079,38,117253,3701,4734,1970,670,520,2941,1550,0,208,5438,2428,3043,1273,594,549,2449,1137
1600000US0473000,0473000,"Tempe city, Arizona",185025,60,124167,6424,12084,2772,5579,2734,14652,3131,408,472,20933,5734,7202,2206,1867,1584,5335,1497
1600000US0477000,0477000,"Tucson city, Arizona",535676,56,384608,8094,25645,2510,22287,4805,16624,2380,1059,723,53889,6267,31564,3901,7428,1868,24136,3722
1600000US0485540,0485540,"Yuma city, Arizona",95494,40,72401,3938,3450,1183,1988,1155,2479,560,49,86,10364,2989,4763,1486,1059,1011,3704,1125
1600000US0515190,0515190,"Conway city, Arkansas",65790,33,48700,2798,11499,2124,0,201,1718,279,0,201,2045,2096,1828,1283,358,400,1470,1184
1600000US0523290,0523290,"Fayetteville city, Arkansas",85258,27,66523,3308,7168,1284,564,372,3808,1361,116,147,3977,2578,3102,1511,20,43,3082,1515
1600000US0524550,0524550,"Fort Smith city, Arkansas",88028,36,55749,2021,7696,1256,894,366,4727,1128,0,201,11945,1915,7017,1743,538,539,6479,1686
1600000US0535710,0535710,"Jonesboro city, Arkansas",75867,20,54217,1138,13312,1749,91,106,1293,358,37,66,2344,1103,4573,1714,199,246,4374,1700
1600000US0541000,0541000,"Little Rock city, Arkansas",198594,49,98811,5162,83208,5209,643,713,6819,1569,208,331,3223,1901,5682,2334,858,1084,4824,2240
1600000US0550450,0550450,"North Little Rock city, Arkansas",65920,35,28265,3440,35057,3468,78,131,598,617,0,201,724,637,1198,728,25,46,1173,729
