GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1600000US0107000,0107000,"Birmingham city, Alabama",222154,9045,48852,4608,167975,7658,114,140,2630,895,0,270,1287,783,1296,697,34,58,1262,697
1600000US0135896,0135896,"Hoover city, Alabama",74473,6152,59739,5353,10790,3227,0,270,2547,1085,0,270,1001,943,396,276,87,129,309,253
1600000US0137000,0137000,"Huntsville city, Alabama",158618,5913,101915,5029,46581,3088,2251,1169,4285,825,217,357,1751,1453,1618,784,294,298,1324,700
1600000US0150000,0150000,"Mobile city, Alabama",193332,8455,95172,5683,90230,5845,422,375,3953,1197,0,270,1714,1110,1841,828,118,153,1723,846
1600000US0151000,0151000,"Montgomery city, Alabama",193042,3074,85229,1980,102292,2557,316,232,2589,389,0,270,650,465,1966,899,461,381,1505,819
1600000US0177256,0177256,"Tuscaloosa city, Alabama",68006,4295,35136,3251,30364,2902,265,222,719,566,0,270,709,930,813,582,223,253,590,522
1600000US0203000,0203000,"Anchorage municipality, Alaska",266281,*****,185780,1743,16547,674,15903,2447,18514,1707,2297,437,5377,1648,21863,3173,1154,732,20709,3201
1600000US0404720,0404720,"Avondale city, Arizona",61666,7985,37270,7477,3132,1102,213,206,976,601,0,291,18949,5654,1126,624,279,292,847,559
1600000US0412000,0412000,"Chandler city, Arizona",225725,12895,171596,10554,10991,4513,2695,1092,15653,2992,672,576,17116,4830,7002,2001,1337,803,5665,1851
1600000US0427400,0427400,"Gilbert town, Arizona",178539,10630,151198,10535,5873,3848,765,580,8574,2971,182,323,7922,2096,4025,1316,1470,641,2555,1191
1600000US0427820,0427820,"Glendale city, Arizona",229913,15332,175472,13674,10378,2930,3365,1481,4817,1483,1178,1044,27678,5766,7025,3772,1293,811,5732,3524
1600000US0446000,0446000,"Mesa city, Arizona",442445,17998,361116,15134,10830,3511,9817,3719,8845,2453,371,306,41250,8552,10216,2289,4688,1721,5528,1799
1600000US0454050,0454050,"Peoria city, Arizona",141941,12397,118889,11832,6486,3773,521,533,5600,2033,50,89,8001,2632,2394,967,757,426,1637,836
1600000US0455000,0455000,"Phoenix city, Arizona",1377980,26483,1015038,28078,69687,6345,29049,4351,27724,3952,872,582,206728,14297,28882,4075,12495,2781,16387,2791
1600000US0465000,0465000,"Scottsdale city, Arizona",215933,11086,197519,10786,3397,1589,1481,1391,6176,2637,0,291,3417,1494,3943,1539,1373,708,2570,1294
